LAKE SUPERIOR BATHYMETRY                                                       1
   61   30  46.3184662  92.102752710000  326   12  0.0     1    0  0.0         2
   0.770215E+02   0.584617E+01  -0.142494E+01   0.0                            3
  -0.398892E+01   0.111176E+03   0.0            0.486127E+00                   4
   0.129841E-01  -0.717624E-03   0.226882E-05   0.0                            5
   0.477160E-03   0.898120E-02   0.0           -0.757848E-06                   6
 201 143 267 172 171 203 229 170 136   0   0   0   0   0   0   0   0   0   0  70
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  71
   0   0   0   0   0   0   0   0  15   0 196 234 174 148 123  82 122 191 226  72
 236 272 262 236 188 193 218 157 123 162 177 119  77   0   0   0   0   0   0  73
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  74
   0   0   0   0   0   0   0   0   0   0   0   0   0  28  27  72  79 161 176  75
 160 194 144 195 237 215 232 196 189 168 185 207 178 133 196 131   0   0   0  76
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  77
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  27  67  78
   0  24  13  98 171 176 160 185 220 200 185 154 169 210 226 167 127 122 180  79
 142   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  80
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  81
   0   0   0  27  39   0   0  14  62 165 140 161 193 214 183 120 131 195 173  82
 134  83 123 151 101   0   0   0   0   0   0   0   0   0   0   0   0   0   0  83
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  84
   0   0   0   0   0   0   0   0   0   0   0   0  21  72 131 160 159 206 188  85
 128 113 179 209  93 126  73 109   0   0   0   0   0   0   0   0   0   0   0  86
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  87
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  37  88
 150 138 185 157 163 130 124 122 150 139  98  55   0   0   0   0   0   0   0  89
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  90
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  91
   0   0   0   0   0   0  88  15  40   0  65  57  31  37   0   0   0   0   0  92
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  93
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  94
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  95
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  96
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  97
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  98
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  99
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 100
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 101
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 102
   0   0   0   0   0   0                                                     103
