20073370000045137   69  -2.0 999.9  80  3.0  4.0 999 9999.9 1004.8  6.2  2.0  7.0
20073370000045143   69   0.5 999.9 120 12.0 16.0 999 9999.9 1003.7  6.7  2.1  6.0
20073370000045147   39   6.1 999.9 190  6.0  6.0 999 9999.9 1001.9  7.1  0.3  2.0
200733700001ABAN6   59  -5.2  -6.7  40  4.6  5.1 999 9999.9 1014.9  5.0 99.9 99.9
200733700001BHRI3   19   3.3 999.9 280 12.3 15.4 999 9999.9 1009.1 99.9 99.9 99.9
200733700001BIGM4   09   0.3 999.9  40  9.8 12.9 999 9999.9 1007.5 99.9 99.9 99.9
200733700001BSBM4   19   2.4 999.9 290 12.3 13.4 999 9999.9 1004.4 99.9 99.9 99.9
200733700001BUFN6   49   4.4 999.9 140  4.1  6.2 999 9999.9 1006.6 99.9 99.9 99.9
200733700001CBLO1   59   7.8 999.9 220  9.3 10.8 999 9999.9 1003.4 99.9 99.9 99.9
200733700001CLSM4   39   8.8 999.9 200  4.1  7.2 999 9999.9 1000.7 99.9 99.9 99.9
200733700001CMTI2   19   2.2 999.9 270  6.2  8.2 999 9999.9 1011.0 99.9 99.9 99.9
200733700001CNDO1   49   9.5 999.9 999 99.9 99.9 999 9999.9 1004.9 99.9 99.9 99.9
200733700001DBLN6   49   5.4 999.9 160  6.7  9.8 999 9999.9 1004.6 99.9 99.9 99.9
200733700001DISW3   09  -2.8 999.9 350 13.4 14.4 999 9999.9 1013.8 99.9 99.9 99.9
200733700001DTLM4   29  -4.9 999.9  50  1.5  2.1 999 9999.9 1004.2 99.9 99.9 99.9
200733700001DULM5   09  -3.5 999.9 310 11.8 15.9 999 9999.9 1015.8 99.9 99.9 99.9
200733700001FPTM4   19  -1.2 999.9 360  3.6  5.7 999 9999.9 1005.1 99.9 99.9 99.9
200733700001FTGM4   29   6.7 999.9 180  4.6 99.9 999 9999.9 1001.2 99.9 99.9 99.9
200733700001GDMM5   09  -4.4 999.9 999 99.9 99.9 999 9999.9 1013.3 99.9 99.9 99.9
200733700001GRMM4   09  -2.3 999.9  40  8.7  9.8 999 9999.9 1006.8 99.9 99.9 99.9
200733700001GTLM4   19   1.2 999.9  60  5.1  6.2 999 9999.9 1003.4 99.9 99.9 99.9
200733700001GTRM4   09  -1.2 999.9  30  6.7  9.3 999 9999.9 1009.8 99.9 99.9 99.9
200733700001HHLO1   49  11.2 999.9 240  7.7 10.3 999 9999.9 1003.4 99.9 99.9 99.9
200733700001HRBM4   29   4.0 999.9 190  7.7  9.3 999 9999.9 1000.9 99.9 99.9 99.9
200733700001KNSW3   19   1.4 999.9 290  9.8 13.9 999 9999.9 1009.1 99.9 99.9 99.9
200733700001KWNW3   19   0.8 999.9 300  5.7  7.7 999 9999.9 1006.9 99.9 99.9 99.9
